service_id,date,exception_type
0095UE54650840918385,20140813,2
0095UE54650840918385,20140814,2
0095UE54650840918385,20140815,2
0095UE54650840918385,20140818,2
0095UE54650840918385,20140819,2
0095UE54650840918385,20140820,2
0095UE54650840918385,20140821,2
0095UE54650840918385,20140822,2
0095UE54650850934675,20140719,2
0095UE54650850934675,20140726,2
0095UE54650850934675,20140802,2
0095UE54650850935596,20140721,2
0095UE54650850935596,20140722,2
0095UE54650850935596,20140723,2
0095UE54650850935596,20140724,2
0095UE54650850935596,20140725,2
0095UE54650850935596,20140728,2
0095UE54650850935596,20140729,2
0095UE54650850935596,20140730,2
0095UE54650850935596,20140731,2
0095UE54650850935596,20140801,2
0095UE54650910965980,20140809,2
0095UE54650910965980,20140816,2
0095UE54650910967975,20140804,2
0095UE54650910967975,20140805,2
0095UE54650910967975,20140806,2
0095UE54650910967975,20140807,2
0095UE54650910967975,20140808,2
0095UE54650910967975,20140811,2
0095UE54650910967975,20140812,2
0095UE54650910967975,20140813,2
0095UE54650910967975,20140814,2
0095UE54650910967975,20140815,2
0095UE54650910967975,20140818,2
0095UE54650910967975,20140819,2
0095UE54650910967975,20140820,2
0095UE54650910967975,20140821,2
0095UE54650910967975,20140822,2
0095UE54650920984265,20140719,2
0095UE54650920984265,20140726,2
0095UE54650920984265,20140802,2
0095UE54650920985186,20140721,2
0095UE54650920985186,20140722,2
0095UE54650920985186,20140723,2
0095UE54650920985186,20140724,2
0095UE54650920985186,20140725,2
0095UE54650920985186,20140728,2
0095UE54650920985186,20140729,2
0095UE54650920985186,20140730,2
0095UE54650920985186,20140731,2
0095UE54650920985186,20140801,2
0095UE546509401016576,20140809,2
0095UE546509401016576,20140816,2
0095UE546509401017565,20140804,2
0095UE546509401017565,20140805,2
0095UE546509401017565,20140806,2
0095UE546509401017565,20140807,2
0095UE546509401017565,20140808,2
0095UE546509401017565,20140811,2
0095UE546509401017565,20140812,2
0095UE546509401017565,20140813,2
0095UE546509401017565,20140814,2
0095UE546509401017565,20140815,2
0095UE546509401017565,20140818,2
0095UE546509401017565,20140819,2
0095UE546509401017565,20140820,2
0095UE546509401017565,20140821,2
0095UE546509401017565,20140822,2
0095UE546509501034273,20140719,2
0095UE546509501034273,20140726,2
0095UE546509501034273,20140802,2
0095UE546509501034776,20140721,2
0095UE546509501034776,20140722,2
0095UE546509501034776,20140723,2
0095UE546509501034776,20140724,2
0095UE546509501034776,20140725,2
0095UE546509501034776,20140728,2
0095UE546509501034776,20140729,2
0095UE546509501034776,20140730,2
0095UE546509501034776,20140731,2
0095UE546509501034776,20140801,2
0095UE546510101066166,20140809,2
0095UE546510101066166,20140816,2
0095UE546510101067155,20140804,2
0095UE546510101067155,20140805,2
0095UE546510101067155,20140806,2
0095UE546510101067155,20140807,2
0095UE546510101067155,20140808,2
0095UE546510101067155,20140811,2
0095UE546510101067155,20140812,2
0095UE546510101067155,20140813,2
0095UE546510101067155,20140814,2
0095UE546510101067155,20140815,2
0095UE546510101067155,20140818,2
0095UE546510101067155,20140819,2
0095UE546510101067155,20140820,2
0095UE546510101067155,20140821,2
0095UE546510101067155,20140822,2
0095UE546510201083863,20140719,2
0095UE546510201083863,20140726,2
0095UE546510201083863,20140802,2
0095UE546510201084366,20140721,2
0095UE546510201084366,20140722,2
0095UE546510201084366,20140723,2
0095UE546510201084366,20140724,2
0095UE546510201084366,20140725,2
0095UE546510201084366,20140728,2
0095UE546510201084366,20140729,2
0095UE546510201084366,20140730,2
0095UE546510201084366,20140731,2
0095UE546510201084366,20140801,2
0095UE546510401115756,20140809,2
0095UE546510401115756,20140816,2
0095UE546510401116745,20140804,2
0095UE546510401116745,20140805,2
0095UE546510401116745,20140806,2
0095UE546510401116745,20140807,2
0095UE546510401116745,20140808,2
0095UE546510401116745,20140811,2
0095UE546510401116745,20140812,2
0095UE546510401116745,20140813,2
0095UE546510401116745,20140814,2
0095UE546510401116745,20140815,2
0095UE546510401116745,20140818,2
0095UE546510401116745,20140819,2
0095UE546510401116745,20140820,2
0095UE546510401116745,20140821,2
