service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0091UE54640730330636,0,0,0,0,0,1,0,20140719,20140822
0091UE54640740335681,0,0,0,0,0,1,0,20140719,20140822
0091UE54640800349741,0,0,0,0,0,1,0,20140719,20140822
0091UE54640810356771,0,0,0,0,0,1,1,20140719,20140822
0093UE54680710724499,1,1,1,1,1,0,0,20140719,20140822
0093UE54680720738273,1,1,1,1,1,0,0,20140719,20140822
0093UE54680740770699,1,1,1,1,1,0,0,20140719,20140822
0093UE54680750784473,1,1,1,1,1,0,0,20140719,20140822
0093UE54680810813929,1,1,1,1,1,0,0,20140719,20140822
0093UE54680820830673,1,1,1,1,1,0,0,20140719,20140822
0093UE546815401514544,1,1,1,1,1,0,0,20140719,20140822
0093UE546815501530474,1,1,1,1,1,0,0,20140719,20140822
0093UE546816101565679,1,1,1,1,1,0,0,20140719,20140822
0093UE546816201576674,1,1,1,1,1,0,0,20140719,20140822
0093UE546816401606944,1,1,1,1,1,0,0,20140719,20140822
0093UE546816501622874,1,1,1,1,1,0,0,20140719,20140822
0095UE54650810866298,0,0,0,0,0,1,0,20140719,20140822
0095UE54650820885085,0,0,0,0,0,1,0,20140719,20140822
0095UE54650840915888,0,0,0,0,0,1,0,20140719,20140822
0095UE54650840918385,1,1,1,1,1,0,0,20140719,20140822
0095UE54650850933492,0,0,0,0,0,0,1,20140719,20140822
0095UE54650850934004,0,0,0,0,0,0,1,20140719,20140822
0095UE54650850934675,0,0,0,0,0,1,0,20140719,20140822
0095UE54650850935596,1,1,1,1,1,0,0,20140719,20140822
0095UE54650910965980,0,0,0,0,0,1,0,20140719,20140822
0095UE54650910967975,1,1,1,1,1,0,0,20140719,20140822
0095UE54650920984265,0,0,0,0,0,1,0,20140719,20140822
0095UE54650920985186,1,1,1,1,1,0,0,20140719,20140822
0095UE546509401016576,0,0,0,0,0,1,0,20140719,20140822
0095UE546509401017565,1,1,1,1,1,0,0,20140719,20140822
0095UE546509501032672,0,0,0,0,0,0,1,20140719,20140822
0095UE546509501033602,0,0,0,0,0,0,1,20140719,20140822
0095UE546509501034273,0,0,0,0,0,1,0,20140719,20140822
0095UE546509501034776,1,1,1,1,1,0,0,20140719,20140822
0095UE546510101066166,0,0,0,0,0,1,0,20140719,20140822
0095UE546510101067155,1,1,1,1,1,0,0,20140719,20140822
0095UE546510201083863,0,0,0,0,0,1,0,20140719,20140822
0095UE546510201084366,1,1,1,1,1,0,0,20140719,20140822
0095UE546510401115756,0,0,0,0,0,1,0,20140719,20140822
0095UE546510401116745,1,1,1,1,1,0,0,20140719,20140822
0095UE546510501131852,0,0,0,0,0,0,1,20140719,20140822
0095UE546510501132782,0,0,0,0,0,0,1,20140719,20140822
